Max molecule size,LSTM hidden size,da,r,Learning rate,Loss function,MSE
20,450,60,5,0.0001,mse,3.6994
20,300,200,15,0.0001,mse,3.6998
20,450,20,5,0.0001,mse,3.7014
20,450,40,5,0.0001,mse,3.7037
20,150,80,5,0.0001,mse,3.7038
20,150,100,50,0.0001,mse,3.7057
20,100,100,30,0.0001,mse,3.7059
20,300,200,5,0.0001,mse,3.7109
20,450,80,15,0.0001,mse,3.7111
20,300,40,30,0.0001,mse,3.7119
20,300,80,50,0.0001,mse,3.7124
20,300,40,5,0.0001,mse,3.7154
20,450,100,5,0.0001,mse,3.7157
20,150,80,15,0.0001,mse,3.7159
20,150,20,10,0.0001,mse,3.7174
20,300,60,10,0.0001,mse,3.7178
20,450,40,30,0.0001,mse,3.7188
20,150,100,15,0.0001,mse,3.7200
20,100,20,15,0.0001,mse,3.7236
20,300,100,5,0.0001,mse,3.7236
20,100,60,10,0.0001,mse,3.7244
20,150,20,5,0.0001,mse,3.7247
20,300,80,15,0.0001,mse,3.7253
20,450,80,30,0.0001,mse,3.7268
20,150,40,50,0.0001,mse,3.7310
20,450,200,30,0.0001,mse,3.7351
20,100,100,50,0.0001,mse,3.7394
20,450,100,15,0.0001,mse,3.7449
20,300,20,20,0.0001,mse,3.7711
20,300,80,10,0.0001,mse,3.7753
20,100,20,5,0.0001,mse,3.8071
