Max molecule size,LSTM hidden size,da,r,Learning rate,Loss function,MSE
80,150,80,150,0.0001,mse,0.5074
60,100,20,50,0.0001,mse,0.5079
80,100,100,10,0.0001,mse,0.5080
60,150,20,10,0.0001,mse,0.5081
80,100,100,30,0.0001,mse,0.5089
100,100,200,30,0.0001,mse,0.5100
60,150,60,200,0.0001,mse,0.5109
40,100,40,10,0.0001,mse,0.5121
40,100,80,30,0.0001,mse,0.5131
60,300,60,10,0.0001,mse,0.5135
100,300,20,50,0.0001,mse,0.5137
100,100,80,200,0.0001,mse,0.5138
60,100,40,10,0.0001,mse,0.5140
80,150,20,10,0.0001,mse,0.5142
40,100,40,100,0.0001,mse,0.5151
40,300,60,30,0.0001,mse,0.5151
40,150,200,150,0.0001,mse,0.5153
100,150,40,50,0.0001,mse,0.5156
80,100,40,30,0.0001,mse,0.5159
80,300,20,10,0.0001,mse,0.5166
60,100,80,10,0.0001,mse,0.5172
100,100,60,10,0.0001,mse,0.5174
80,300,200,10,0.0001,mse,0.5179
100,100,200,10,0.0001,mse,0.5184
80,100,60,10,0.0001,mse,0.5189
40,300,200,30,0.0001,mse,0.5198
100,300,100,30,0.0001,mse,0.5201
40,100,60,50,0.0001,mse,0.5215
60,300,20,200,0.0001,mse,0.5215
80,100,20,30,0.0001,mse,0.5217
40,150,60,100,0.0001,mse,0.5228
40,150,200,100,0.0001,mse,0.5232
40,150,200,30,0.0001,mse,0.5247
40,300,60,200,0.0001,mse,0.5257
80,300,60,100,0.0001,mse,0.5266
40,150,60,30,0.0001,mse,0.5270
40,150,40,30,0.0001,mse,0.5277
80,300,80,100,0.0001,mse,0.5280
100,100,100,10,0.0001,mse,0.5280
40,300,200,200,0.0001,mse,0.5282
60,150,40,10,0.0001,mse,0.5282
40,100,80,50,0.0001,mse,0.5293
40,300,200,100,0.0001,mse,0.5301
80,300,60,50,0.0001,mse,0.5309
60,150,80,10,0.0001,mse,0.5313
100,150,40,10,0.0001,mse,0.5318
40,300,60,150,0.0001,mse,0.5324
80,150,60,200,0.0001,mse,0.5333
40,150,20,50,0.0001,mse,0.5334
